,mainframe,framedata,datatocompare,comparison
1082,163,163,183,True
1083,163,163,183,True
1084,163,163,183,True
1085,163,163,183,True
1086,163,163,183,True
1087,163,163,183,True
1088,160,160,180,True
1089,160,160,180,True
1090,160,160,180,True
1091,160,160,180,True
1092,160,160,180,True
1093,160,160,180,True
1094,160,160,180,True
1095,160,160,180,True
1096,160,160,180,True
1097,160,160,180,True
1098,160,160,180,True
1099,160,160,180,True
1100,160,160,180,True
1101,160,160,180,True
1102,160,160,180,True
1103,160,160,180,True
1104,161,162,181,True
1105,161,162,181,True
1106,161,162,181,True
1107,161,162,181,True
1108,161,162,181,True
1109,161,162,181,True
1110,161,162,181,True
1111,161,162,181,True
1112,161,162,181,True
1113,161,162,181,True
1114,161,162,181,True
1115,161,162,181,True
1116,161,162,181,True
1117,161,162,181,True
1118,161,162,181,True
1119,160,162,180,True
1120,159,160,179,True
1121,159,160,179,True
1122,159,161,179,True
1123,159,161,179,True
1124,159,161,179,True
1125,159,161,179,True
1126,159,161,179,True
1127,159,161,179,True
1128,160,161,180,True
1129,160,161,180,True
1130,160,161,180,True
1131,160,161,180,True
1132,161,161,181,True
1133,161,161,181,True
1134,161,161,181,True
1135,161,161,181,True
1136,161,163,181,True
1137,161,163,181,True
1138,161,163,181,True
1139,161,163,181,True
1140,163,163,183,True
1141,163,163,183,True
1142,163,163,183,True
1143,163,163,183,True
1144,161,163,181,True
1145,161,163,181,True
1146,161,163,181,True
1147,161,163,181,True
1148,161,163,181,True
1149,161,163,181,True
1150,163,163,183,True
1151,163,163,183,True
1152,164,164,184,True
1153,164,164,184,True
1154,164,164,184,True
1155,164,164,184,True
1156,164,164,184,True
1157,163,163,183,True
1158,163,163,183,True
1159,163,163,183,True
1160,163,163,183,True
1161,163,163,183,True
1162,163,163,183,True
1163,163,163,183,True
1164,163,163,183,True
1165,163,163,183,True
1166,163,163,183,True
1167,161,161,181,True
1168,160,160,180,True
1169,159,159,179,True
1170,159,159,179,True
1171,159,159,179,True
1172,159,159,179,True
1173,159,159,179,True
1174,159,159,179,True
1175,159,159,179,True
1176,158,158,178,True
1177,158,158,178,True
1178,158,158,178,True
1179,158,158,178,True
1180,158,158,178,True
1181,158,158,178,True
1182,158,158,178,True
1183,158,158,178,True
1184,158,158,178,True
1185,158,158,178,True
1186,158,158,178,True
1187,158,158,178,True
1188,158,158,178,True
1189,158,158,178,True
1190,158,158,178,True
1191,158,158,178,True
1192,158,158,178,True
1193,158,158,178,True
1194,158,158,178,True
1195,158,158,178,True
1196,158,158,178,True
1197,158,158,178,True
1198,158,158,178,True
1199,158,158,178,True
1200,158,158,178,True
1201,158,158,178,True
1202,158,158,178,True
1203,158,158,178,True
1204,158,158,178,True
1205,158,158,178,True
1206,158,158,178,True
1207,158,158,178,True
1208,158,158,178,True
1209,158,158,178,True
1210,158,158,178,True
1211,158,158,178,True
1212,158,158,178,True
1213,158,158,178,True
1214,158,158,178,True
1215,158,158,178,True
1216,156,156,176,True
1217,156,156,176,True
1218,156,156,176,True
1219,156,156,176,True
1220,156,156,176,True
1221,156,156,176,True
1222,156,156,176,True
1223,156,156,176,True
1224,156,156,176,True
1225,156,156,176,True
1226,156,156,176,True
1227,156,156,176,True
1228,156,156,176,True
1229,156,156,176,True
1230,156,156,176,True
1231,156,156,176,True
1232,156,156,176,True
1233,156,156,176,True
1234,156,156,176,True
1235,156,156,176,True
1236,156,156,176,True
1237,156,156,176,True
1238,156,156,176,True
1239,156,156,176,True
1240,156,156,176,True
1241,156,156,176,True
1242,156,156,176,True
1243,156,156,176,True
1244,156,156,176,True
1245,156,156,176,True
1246,156,156,176,True
1247,156,156,176,True
1248,155,155,175,True
1249,155,155,175,True
1250,155,155,175,True
1251,155,155,175,True
1252,155,155,175,True
1253,155,155,175,True
1254,155,155,175,True
1255,155,155,175,True
1256,156,156,176,True
1257,156,156,176,True
1258,156,156,176,True
1259,156,156,176,True
1260,156,156,176,True
1261,156,156,176,True
1262,156,156,176,True
1263,156,156,176,True
1264,155,155,175,True
1265,155,155,175,True
1266,155,155,175,True
1267,155,155,175,True
1268,155,155,175,True
1269,155,155,175,True
1270,153,153,173,True
1271,153,153,173,True
1272,153,153,173,True
1273,152,152,172,True
1274,152,152,172,True
1275,153,153,173,True
1276,153,153,173,True
1277,155,155,175,True
1278,155,155,175,True
1279,155,155,175,True
1280,153,156,173,True
1281,153,156,173,True
1282,153,156,173,True
1283,153,156,173,True
1284,153,156,173,True
1285,153,156,173,True
1286,153,156,173,True
